Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D77,D_Small,D_SOD-123,293.298789,-48.041476,90.0,bottom
D78,D_Small,D_SOD-123,336.113789,-105.099476,90.0,bottom
D79,D_Small,D_SOD-123,31.733789,-124.121476,90.0,bottom
D80,D_Small,D_SOD-123,55.483789,-124.119476,90.0,bottom
D81,D_Small,D_SOD-123,79.258789,-124.119476,90.0,bottom
D82,D_Small,D_SOD-123,160.155203,-124.121336,90.0,bottom
D83,D_Small,D_SOD-123,221.871289,-124.119476,90.0,bottom
D84,D_Small,D_SOD-123,245.683789,-124.119476,90.0,bottom
D85,D_Small,D_SOD-123,264.703789,-124.121476,90.0,bottom
D86,D_Small,D_SOD-123,288.518789,-124.121476,90.0,bottom
D87,D_Small,D_SOD-123,317.093789,-124.119476,90.0,bottom
D88,D_Small,D_SOD-123,336.113789,-124.119476,90.0,bottom
D93,D_Small,D_SOD-123,355.133789,-124.119476,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,298.345866,-26.797,270.0,bottom
J1,Pico EzMate,Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical,354.530666,-104.552334,90.0,bottom
J2,548190519,Molex-0548190519,302.028781,-12.128334,-90.0,top
J4,S3B,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,352.371666,-104.584334,90.0,top
Q1,2N7002,SOT-23,343.1055,-90.360334,0.0,bottom
R1,10k,R_0402_1005Metric,339.344,-90.932,0.0,bottom
R2,220,R_0402_1005Metric,28.648666,-92.519334,0.0,bottom
R3,220,R_0402_1005Metric,332.940666,-30.607,0.0,bottom
R4,220,R_0402_1005Metric,23.822666,-30.797334,0.0,bottom
R5,10k,R_0402_1005Metric,344.583,-85.788334,0.0,bottom
R6,100k,R_0402_1005Metric,344.583,-88.074334,180.0,bottom
SW95,SW_Push,SW_SPST_TL3342,336.677,-87.312334,0.0,bottom
U1,XC6206PxxxMR,SOT-23,312.542166,-78.295334,0.0,bottom
U2,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,320.619781,-83.858972,90.0,bottom
U3,SRV05-4,SOT-23-6-routable,301.825666,-24.384,0.0,bottom
U4,74AHCT1G125,SOT-23-5,341.858666,-106.235334,180.0,bottom
